variant,train_mode,top_n,band_rule,min_train_bets,months,total_bets,total_pnl,max_dd,profit_dd_ratio,ttr_p90_days,ttr_max_days,worst_20d
mode=rolling_24m|topN=2|band=exclude_worst_always|minbets=500,rolling_24m,2,exclude_worst_always,500,50,32405,1343.1956924672354,-679.8513153399998,1.9757197818989156,73.69999999999999,208.0,-265.18109555999996
mode=rolling_24m|topN=2|band=exclude_worst_always|minbets=1000,rolling_24m,2,exclude_worst_always,1000,50,32405,1343.1956924672354,-679.8513153399998,1.9757197818989156,73.69999999999999,208.0,-265.18109555999996
mode=rolling_24m|topN=2|band=none|minbets=200,rolling_24m,2,none,200,50,49235,1317.3522023095047,-729.8697554799992,1.804914085586609,79.20000000000002,342.0,-334.1318715599999
mode=rolling_24m|topN=2|band=none|minbets=500,rolling_24m,2,none,500,50,49235,1317.3522023095047,-729.8697554799992,1.804914085586609,79.20000000000002,342.0,-334.1318715599999
mode=rolling_24m|topN=2|band=none|minbets=1000,rolling_24m,2,none,1000,50,49235,1317.3522023095047,-729.8697554799992,1.804914085586609,79.20000000000002,342.0,-334.1318715599999
mode=rolling_24m|topN=2|band=exclude_worst_if_negative|minbets=200,rolling_24m,2,exclude_worst_if_negative,200,50,48429,1316.1832472227763,-729.8697554799992,1.803312491496771,80.0,342.0,-334.1318715599999
mode=rolling_24m|topN=2|band=exclude_worst_if_negative|minbets=500,rolling_24m,2,exclude_worst_if_negative,500,50,48429,1316.1832472227763,-729.8697554799992,1.803312491496771,80.0,342.0,-334.1318715599999
mode=rolling_24m|topN=2|band=exclude_worst_if_negative|minbets=1000,rolling_24m,2,exclude_worst_if_negative,1000,50,48429,1316.1832472227763,-729.8697554799992,1.803312491496771,80.0,342.0,-334.1318715599999
mode=rolling_12m|topN=5|band=none|minbets=500,rolling_12m,5,none,500,50,115609,1245.5624882609898,-1877.8009618199976,0.6633091118740129,74.0,202.0,-734.4167041300001
mode=rolling_12m|topN=5|band=none|minbets=1000,rolling_12m,5,none,1000,50,115609,1245.5624882609898,-1877.8009618199976,0.6633091118740129,74.0,202.0,-734.4167041300001
mode=rolling_12m|topN=5|band=none|minbets=200,rolling_12m,5,none,200,50,115519,1232.5624882609898,-1877.8009618199976,0.656386120425867,74.0,202.0,-734.4167041300001
mode=expanding|topN=2|band=exclude_worst_always|minbets=200,expanding,2,exclude_worst_always,200,50,37970,867.5276491446901,-939.2703505900002,0.9236186882719708,46.6,407.0,-340.06115232
mode=expanding|topN=2|band=exclude_worst_always|minbets=500,expanding,2,exclude_worst_always,500,50,37970,867.5276491446901,-939.2703505900002,0.9236186882719708,46.6,407.0,-340.06115232
mode=expanding|topN=2|band=exclude_worst_always|minbets=1000,expanding,2,exclude_worst_always,1000,50,37970,867.5276491446901,-939.2703505900002,0.9236186882719708,46.6,407.0,-340.06115232
mode=rolling_12m|topN=5|band=exclude_worst_if_negative|minbets=500,rolling_12m,5,exclude_worst_if_negative,500,50,113828,825.39784564099,-1877.8009618199992,0.4395555558992787,77.19999999999999,202.0,-734.4167041300001
mode=rolling_12m|topN=5|band=exclude_worst_if_negative|minbets=1000,rolling_12m,5,exclude_worst_if_negative,1000,50,113828,825.39784564099,-1877.8009618199992,0.4395555558992787,77.19999999999999,202.0,-734.4167041300001
mode=rolling_12m|topN=5|band=exclude_worst_if_negative|minbets=200,rolling_12m,5,exclude_worst_if_negative,200,50,113738,812.39784564099,-1877.8009618199997,0.43263256445113274,77.19999999999999,202.0,-734.4167041300001
mode=rolling_12m|topN=3|band=none|minbets=200,rolling_12m,3,none,200,50,75870,422.0228698269501,-1122.7723249899989,0.3758757322689703,51.30000000000001,122.0,-386.7711957800001
mode=rolling_12m|topN=3|band=none|minbets=500,rolling_12m,3,none,500,50,75870,422.0228698269501,-1122.7723249899989,0.3758757322689703,51.30000000000001,122.0,-386.7711957800001
mode=rolling_12m|topN=3|band=none|minbets=1000,rolling_12m,3,none,1000,50,75870,422.0228698269501,-1122.7723249899989,0.3758757322689703,51.30000000000001,122.0,-386.7711957800001
mode=rolling_12m|topN=2|band=none|minbets=200,rolling_12m,2,none,200,50,51427,255.46549907850311,-993.4716975200001,0.2571442142903726,95.40000000000009,501.0,-383.38170972
mode=rolling_12m|topN=2|band=none|minbets=500,rolling_12m,2,none,500,50,51427,255.46549907850311,-993.4716975200001,0.2571442142903726,95.40000000000009,501.0,-383.38170972
mode=rolling_12m|topN=2|band=none|minbets=1000,rolling_12m,2,none,1000,50,51427,255.46549907850311,-993.4716975200001,0.2571442142903726,95.40000000000009,501.0,-383.38170972
mode=rolling_12m|topN=3|band=exclude_worst_always|minbets=200,rolling_12m,3,exclude_worst_always,200,50,50210,179.4565580983052,-1136.4106337400003,0.15791524011677202,21.5,161.0,-379.86694159
mode=rolling_12m|topN=3|band=exclude_worst_always|minbets=500,rolling_12m,3,exclude_worst_always,500,50,50210,179.4565580983052,-1136.4106337400003,0.15791524011677202,21.5,161.0,-379.86694159
mode=rolling_12m|topN=3|band=exclude_worst_always|minbets=1000,rolling_12m,3,exclude_worst_always,1000,50,50210,179.4565580983052,-1136.4106337400003,0.15791524011677202,21.5,161.0,-379.86694159
mode=rolling_12m|topN=3|band=exclude_worst_if_negative|minbets=200,rolling_12m,3,exclude_worst_if_negative,200,50,73299,118.3540771569501,-1368.8936667600003,0.08645965718950206,51.30000000000001,122.0,-386.7711957800001
mode=rolling_12m|topN=3|band=exclude_worst_if_negative|minbets=500,rolling_12m,3,exclude_worst_if_negative,500,50,73299,118.3540771569501,-1368.8936667600003,0.08645965718950206,51.30000000000001,122.0,-386.7711957800001
mode=rolling_12m|topN=3|band=exclude_worst_if_negative|minbets=1000,rolling_12m,3,exclude_worst_if_negative,1000,50,73299,118.3540771569501,-1368.8936667600003,0.08645965718950206,51.30000000000001,122.0,-386.7711957800001
mode=rolling_12m|topN=2|band=exclude_worst_always|minbets=200,rolling_12m,2,exclude_worst_always,200,50,34005,88.3505864855336,-631.7038894899998,0.13986076064350753,129.60000000000002,265.0,-297.46638777999993
mode=rolling_12m|topN=2|band=exclude_worst_always|minbets=500,rolling_12m,2,exclude_worst_always,500,50,34005,88.3505864855336,-631.7038894899998,0.13986076064350753,129.60000000000002,265.0,-297.46638777999993
mode=rolling_12m|topN=2|band=exclude_worst_always|minbets=1000,rolling_12m,2,exclude_worst_always,1000,50,34005,88.3505864855336,-631.7038894899998,0.13986076064350753,129.60000000000002,265.0,-297.46638777999993
mode=rolling_12m|topN=2|band=exclude_worst_if_negative|minbets=200,rolling_12m,2,exclude_worst_if_negative,200,50,50256,-82.75691339149694,-1017.27072378,-0.08135190707542111,55.2,178.0,-383.38170972
mode=rolling_12m|topN=2|band=exclude_worst_if_negative|minbets=500,rolling_12m,2,exclude_worst_if_negative,500,50,50256,-82.75691339149694,-1017.27072378,-0.08135190707542111,55.2,178.0,-383.38170972
mode=rolling_12m|topN=2|band=exclude_worst_if_negative|minbets=1000,rolling_12m,2,exclude_worst_if_negative,1000,50,50256,-82.75691339149694,-1017.27072378,-0.08135190707542111,55.2,178.0,-383.38170972
mode=rolling_12m|topN=5|band=exclude_worst_always|minbets=500,rolling_12m,5,exclude_worst_always,500,50,76576,-279.97684874483434,-2154.9400907299987,-0.12992326327271145,109.80000000000008,222.0,-633.90161658
mode=rolling_12m|topN=5|band=exclude_worst_always|minbets=1000,rolling_12m,5,exclude_worst_always,1000,50,76576,-279.97684874483434,-2154.9400907299987,-0.12992326327271145,109.80000000000008,222.0,-633.90161658
mode=rolling_12m|topN=5|band=exclude_worst_always|minbets=200,rolling_12m,5,exclude_worst_always,200,50,76514,-292.97684874483434,-2154.940090729999,-0.1359559135797537,109.80000000000008,222.0,-633.90161658
