event_date,pnl,n_bets,equity,month,rule_top_tracks,rule_worst_band,equity_global
2022-05-26,77.91814998443218,28,220.01491715751334,2022-05,"Harlow,Romford,Towcester",10-12,680.5607421914583
2022-05-27,13.0,60,233.01491715751334,2022-05,"Harlow,Romford,Towcester",10-12,693.5607421914583
2022-05-28,-17.6250096530281,52,215.38990750448522,2022-05,"Harlow,Romford,Towcester",10-12,675.9357325384302
2022-05-29,34.34830825525103,32,249.73821575973625,2022-05,"Harlow,Romford,Towcester",10-12,710.2840407936812
2022-05-30,8.0,40,257.73821575973625,2022-05,"Harlow,Romford,Towcester",10-12,718.2840407936812
2022-05-31,-42.0,42,215.73821575973625,2022-05,"Harlow,Romford,Towcester",10-12,676.2840407936812
2022-06-01,58.93556673011743,32,58.93556673011743,2022-06,"Harlow,Romford,Towcester",10-12,735.2196075237987
2022-06-02,-2.059979284453995,38,56.875587445663434,2022-06,"Harlow,Romford,Towcester",10-12,733.1596282393447
2022-06-03,45.696881659605694,42,102.57246910526914,2022-06,"Harlow,Romford,Towcester",10-12,778.8565098989503
2022-06-04,-42.0,66,60.572469105269136,2022-06,"Harlow,Romford,Towcester",10-12,736.8565098989503
2022-06-05,21.474220758355223,38,82.04668986362435,2022-06,"Harlow,Romford,Towcester",10-12,758.3307306573056
2022-06-06,-18.0,44,64.04668986362435,2022-06,"Harlow,Romford,Towcester",10-12,740.3307306573056
2022-06-07,-38.0,38,26.04668986362435,2022-06,"Harlow,Romford,Towcester",10-12,702.3307306573056
2022-06-08,0.40735504922456656,24,26.454044912848918,2022-06,"Harlow,Romford,Towcester",10-12,702.7380857065301
2022-06-09,-32.0,32,-5.545955087151082,2022-06,"Harlow,Romford,Towcester",10-12,670.7380857065301
2022-06-10,-13.0,42,-18.545955087151082,2022-06,"Harlow,Romford,Towcester",10-12,657.7380857065301
2022-06-11,3.6164866407442844,86,-14.929468446406798,2022-06,"Harlow,Romford,Towcester",10-12,661.3545723472744
2022-06-12,-32.0,32,-46.9294684464068,2022-06,"Harlow,Romford,Towcester",10-12,629.3545723472744
2022-06-13,-40.0,40,-86.9294684464068,2022-06,"Harlow,Romford,Towcester",10-12,589.3545723472744
2022-06-14,42.348858138916306,40,-44.580610307490495,2022-06,"Harlow,Romford,Towcester",10-12,631.7034304861907
2022-06-15,-36.0,36,-80.5806103074905,2022-06,"Harlow,Romford,Towcester",10-12,595.7034304861907
2022-06-16,13.0,40,-67.5806103074905,2022-06,"Harlow,Romford,Towcester",10-12,608.7034304861907
2022-06-17,-12.0,12,-79.5806103074905,2022-06,"Harlow,Romford,Towcester",10-12,596.7034304861907
2022-06-18,11.082057249999998,80,-68.49855305749051,2022-06,"Harlow,Romford,Towcester",10-12,607.7854877361907
2022-06-19,27.60359010502696,40,-40.89496295246355,2022-06,"Harlow,Romford,Towcester",10-12,635.3890778412176
2022-06-20,-0.259387399532109,38,-41.15435035199566,2022-06,"Harlow,Romford,Towcester",10-12,635.1296904416855
2022-06-21,16.0,44,-25.15435035199566,2022-06,"Harlow,Romford,Towcester",10-12,651.1296904416855
2022-06-22,30.0,38,4.84564964800434,2022-06,"Harlow,Romford,Towcester",10-12,681.1296904416855
2022-06-23,-4.558755212000001,44,0.2868944360043386,2022-06,"Harlow,Romford,Towcester",10-12,676.5709352296855
2022-06-24,16.72284909113717,40,17.00974352714151,2022-06,"Harlow,Romford,Towcester",10-12,693.2937843208226
2022-06-25,10.217776556748433,82,27.227520083889942,2022-06,"Harlow,Romford,Towcester",10-12,703.511560877571
2022-06-26,-18.127794479465898,56,9.099725604424044,2022-06,"Harlow,Romford,Towcester",10-12,685.3837663981051
2022-06-27,11.315018625482914,44,20.414744229906958,2022-06,"Harlow,Romford,Towcester",10-12,696.698785023588
2022-06-28,-54.0,54,-33.58525577009304,2022-06,"Harlow,Romford,Towcester",10-12,642.698785023588
2022-06-29,-2.0,32,-35.58525577009304,2022-06,"Harlow,Romford,Towcester",10-12,640.698785023588
2022-06-30,76.64648953913243,38,41.06123376903939,2022-06,"Harlow,Romford,Towcester",10-12,717.3452745627204
2022-07-01,-74.0,74,-74.0,2022-07,"Harlow,Romford,Swindon",12-15,643.3452745627204
2022-07-02,9.69356340622879,52,-64.30643659377121,2022-07,"Harlow,Romford,Swindon",12-15,653.0388379689492
2022-07-03,18.0,36,-46.30643659377121,2022-07,"Harlow,Romford,Swindon",12-15,671.0388379689492
2022-07-04,40.0,42,-6.30643659377121,2022-07,"Harlow,Romford,Swindon",12-15,711.0388379689492
2022-07-05,-18.0,18,-24.30643659377121,2022-07,"Harlow,Romford,Swindon",12-15,693.0388379689492
2022-07-06,-8.0,50,-32.30643659377121,2022-07,"Harlow,Romford,Swindon",12-15,685.0388379689492
2022-07-07,4.833530020000001,50,-27.47290657377121,2022-07,"Harlow,Romford,Swindon",12-15,689.8723679889492
2022-07-08,-57.58183657344874,92,-85.05474314721995,2022-07,"Harlow,Romford,Swindon",12-15,632.2905314155005
2022-07-09,-26.0,48,-111.05474314721995,2022-07,"Harlow,Romford,Swindon",12-15,606.2905314155005
2022-07-10,21.600100264394136,34,-89.45464288282582,2022-07,"Harlow,Romford,Swindon",12-15,627.8906316798946
2022-07-11,38.59930914160796,40,-50.85533374121786,2022-07,"Harlow,Romford,Swindon",12-15,666.4899408215025
2022-07-12,20.590513144,12,-30.264820597217863,2022-07,"Harlow,Romford,Swindon",12-15,687.0804539655026
2022-07-13,-1.22241731143788,66,-31.487237908655743,2022-07,"Harlow,Romford,Swindon",12-15,685.8580366540647
2022-07-14,19.776427223436187,66,-11.710810685219556,2022-07,"Harlow,Romford,Swindon",12-15,705.6344638775008
2022-07-15,-42.306772510722425,66,-54.01758319594198,2022-07,"Harlow,Romford,Swindon",12-15,663.3276913667784
2022-07-16,-3.0,38,-57.01758319594198,2022-07,"Harlow,Romford,Swindon",12-15,660.3276913667784
2022-07-17,-14.0,14,-71.01758319594198,2022-07,"Harlow,Romford,Swindon",12-15,646.3276913667784
2022-07-20,-12.826461649543617,72,-83.8440448454856,2022-07,"Harlow,Romford,Swindon",12-15,633.5012297172348
2022-07-21,-18.0,48,-101.8440448454856,2022-07,"Harlow,Romford,Swindon",12-15,615.5012297172348
2022-07-22,64.34258977021729,64,-37.50145507526831,2022-07,"Harlow,Romford,Swindon",12-15,679.843819487452
