sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
80,-413.21014673442716,-1567.6405599160023,-222.9758535900001,1,1,1,0,0,0,0
81,-1198.479930914545,-1768.2624017591124,-223.66679630685744,1,1,1,1,1,1,0
82,157.95524710422782,-690.9842147062227,-230.90973585471846,1,1,1,0,0,0,0
83,-1021.3949808248555,-1379.3691780126098,-223.66679630685746,1,1,1,1,1,0,0
84,-1046.2120088334748,-2033.2224693854923,-222.97585359,1,1,1,1,1,1,0
85,679.7623483189567,-705.678169276461,-213.97930463000006,1,1,0,0,0,0,0
86,-1236.6473625816584,-1828.512279988745,-223.66679630685752,1,1,1,1,1,0,0
87,-132.6755059379127,-1196.944103294621,-245.30612481291212,0,0,0,0,0,0,0
88,-420.7653325298617,-1301.2559562667805,-223.79828509784627,1,1,1,1,1,0,0
89,-754.2260013123346,-1465.693428134406,-230.90973585471843,1,1,1,1,0,0,0
90,-747.4345474083078,-988.0962734198782,-213.9793046300001,1,1,1,1,0,0,0
91,-307.4542366922316,-852.6167437758837,-230.9097358547184,1,1,1,0,0,0,0
92,250.4207449933738,-865.2288593981597,-213.97930463000003,1,0,0,0,0,0,0
93,-394.55364478854256,-564.5678672831399,-225.48451588249154,1,1,1,0,0,0,0
94,-457.8310025226879,-1372.8141534233573,-213.97930463,1,1,1,1,1,0,0
95,-234.56664018567162,-1311.3646369965797,-245.30612481291215,1,1,0,0,0,0,0
96,289.64248269502366,-929.8561873746025,-223.66679630685746,1,1,0,0,0,0,0
97,-244.47740512181133,-890.8669436198992,-223.79828509784627,1,1,1,1,0,0,0
98,271.6888958031505,-587.4484326163074,-245.30612481291215,1,1,0,0,0,0,0
99,40.49192519645129,-893.4878299912963,-213.97930463000003,0,0,0,0,0,0,0
100,174.3927942001576,-1177.2992311042817,-223.66679630685752,1,1,1,1,0,0,0
101,-639.9080180036754,-1460.8908549512712,-223.6667963068575,1,1,1,1,0,0,0
102,-350.7053616298243,-1239.4796481267533,-215.013060706135,1,1,0,0,0,0,0
103,315.269546353109,-1150.417882300644,-223.79828509784633,0,0,0,0,0,0,0
104,892.9709792706047,-865.3113897928572,-245.30612481291226,1,1,0,0,0,0,0
105,-454.47701948634204,-1541.23368780568,-223.7982850978463,1,1,1,1,1,0,0
106,-468.91134101306403,-1430.1208863865525,-213.97930463,1,1,1,1,0,0,0
107,-490.2743669835803,-1319.6591630903793,-223.79828509784627,1,1,1,1,0,0,0
108,695.4574954625451,-733.1410066819354,-223.66679630685744,1,1,0,0,0,0,0
109,264.735624393445,-906.5942207142131,-213.97930462999997,1,1,0,0,0,0,0
110,-621.8995415064979,-1015.2013020989287,-230.90973585471843,1,1,1,1,1,0,0
111,-956.2198101414408,-1219.026112355894,-222.97585359000004,1,1,1,1,1,0,0
