sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
125,1591.0818645684567,-937.0427766469378,-235.3244354602048,1,0,0,0,0,0,0
126,-230.78789969323344,-1021.0919229589416,-229.73826093726584,1,1,1,0,0,0,0
127,1096.9239558923055,-853.143671568631,-218.53229490625657,0,0,0,0,0,0,0
128,145.9658620936852,-960.789485687693,-233.2224325491713,0,0,0,0,0,0,0
129,17.55112297651186,-1930.9763657711171,-238.64766056669248,1,1,1,0,0,0,0
130,-684.2056822142964,-1278.0276232264137,-219.88723450563197,1,1,1,1,0,0,0
131,259.5572500829898,-673.5888604974502,-219.38811684605477,1,0,0,0,0,0,0
132,-373.2865329549909,-1273.2119707584127,-246.69073894047438,1,1,1,0,0,0,0
133,-53.3173598643313,-1357.6148572908476,-240.04747717723,0,0,0,0,0,0,0
134,1439.0463331967355,-538.5273714991793,-205.06930463000006,0,0,0,0,0,0,0
135,-1445.9709002263744,-1861.3504542114129,-253.65077776396373,1,1,1,1,1,1,0
136,1399.0184860585248,-799.2889794396524,-233.24877268625661,1,1,1,0,0,0,0
137,-1392.2785646796829,-2020.9123112972,-251.87253176658348,1,1,1,1,1,1,0
138,60.81901309961281,-1137.543122118643,-257.0857380489746,1,1,0,0,0,0,0
139,-2540.7218861168035,-2761.1553172214367,-253.65077776396373,1,1,1,1,1,1,1
140,288.6506590730618,-1409.7157448588055,-259.6207310623113,1,1,1,0,0,0,0
141,-783.9816266309491,-1585.9487414221758,-213.064826247321,1,1,1,1,0,0,0
142,171.13520048697404,-600.3800338135406,-259.14498512296666,1,0,0,0,0,0,0
143,-1382.877913545237,-1831.4052426421622,-240.04747717723006,1,1,1,1,1,0,0
144,-441.5689495111194,-1711.1952486327482,-257.0857380489745,1,1,1,1,1,0,0
145,-1234.0500254194847,-1527.9255577443303,-257.08573804897446,1,1,1,1,1,0,0
146,1109.35876111755,-801.6635638447119,-240.04747717723006,1,1,0,0,0,0,0
147,-788.7427838639221,-1179.9466747546446,-229.15112481291214,1,1,1,1,1,0,0
148,1854.6639540991632,-575.605959133067,-239.86250838098675,0,0,0,0,0,0,0
149,398.77950338875826,-1062.5427225223718,-259.6207310623112,0,0,0,0,0,0,0
150,1775.191290524076,-519.784371292429,-259.62073106231134,0,0,0,0,0,0,0
151,-816.6350358450314,-1042.0686608248022,-259.14498512296666,1,1,1,1,0,0,0
152,234.78159333566296,-987.1110486264811,-251.8725317665835,1,1,1,1,0,0,0
153,-1563.4209154528444,-1722.1890145446127,-220.18287473047448,1,1,1,1,1,1,0
154,763.6524432996052,-767.3162306483731,-216.54044288000006,0,0,0,0,0,0,0
155,949.7131130698472,-538.8921138687399,-217.72517698870584,1,1,0,0,0,0,0
156,-959.0584064959487,-1663.8785331591087,-251.152138710318,1,1,1,1,1,1,0
157,-11.418546525142931,-729.592095768412,-236.94907840939993,1,1,1,0,0,0,0
158,-502.80074326586595,-1286.2427202774102,-259.62073106231134,1,1,1,0,0,0,0
159,-491.2739904851883,-1150.3424111409086,-259.62073106231134,1,1,1,0,0,0,0
160,-909.7848542398685,-1466.298163718466,-267.2498716683509,1,1,1,1,1,0,0
161,-1098.1348167607403,-1697.0376592000507,-239.8625083809868,1,1,1,1,1,1,0
162,66.15584726963367,-947.6470815258324,-239.17065661691194,1,1,0,0,0,0,0
163,887.9132484930387,-612.0912987882501,-251.15213871031793,0,0,0,0,0,0,0
164,1844.1458337956512,-563.63489969346,-251.87253176658348,1,0,0,0,0,0,0
165,694.4322244598108,-661.327146404612,-220.1828747304744,1,1,1,0,0,0,0
166,-315.1380518612143,-873.4418808903594,-221.69590334273843,1,1,1,0,0,0,0
167,13.92203078297538,-748.9898174650621,-219.19720834516536,1,0,0,0,0,0,0
168,-563.2230394170289,-1157.2119415779762,-267.24987166835103,1,1,1,0,0,0,0
169,-1059.3652797995421,-1816.076000786259,-259.62073106231134,1,1,1,1,1,0,0
