track,all_days,all_bets,all_pnl,all_max_dd,all_worst20,pre_days,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_days,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,pre_positive,post_vs_pre
AnPk (AUS),469.0,6777,232.7471269326187,-278.4325761910918,-128.46620587647047,469.0,6777,232.7471269326187,-278.4325761910918,-128.46620587647047,,0,,,,0,1,-232.7471269326187
Hatr (NZL),85.0,1414,201.87678107289557,-83.18614875879727,-58.314478674990276,85.0,1414,201.87678107289557,-83.18614875879727,-58.314478674990276,,0,,,,0,1,-201.87678107289557
Towc,145.0,2396,197.0017124582182,-106.10302680585534,-87.89913655788976,145.0,2396,197.0017124582182,-106.10302680585534,-87.89913655788976,,0,,,,0,1,-197.0017124582182
Lism (AUS),188.0,2509,195.3166064366406,-110.60998638486475,-83.9719932144917,188.0,2509,195.3166064366406,-110.60998638486475,-83.9719932144917,,0,,,,0,1,-195.3166064366406
Town (AUS),251.0,4089,182.95754584021262,-164.98768807060142,-82.23604850250561,251.0,4089,182.95754584021262,-164.98768807060142,-82.23604850250561,,0,,,,0,1,-182.95754584021262
Casi (AUS),170.0,2438,173.85887947547252,-134.59310289300598,-119.8593483056641,170.0,2438,173.85887947547252,-134.59310289300598,-119.8593483056641,,0,,,,0,1,-173.85887947547252
Goul (AUS),257.0,3237,142.28623547116575,-144.86353674742995,-118.82565162200481,257.0,3237,142.28623547116575,-144.86353674742995,-118.82565162200481,,0,,,,0,1,-142.28623547116575
Sund,636.0,9970,140.85412708232008,-253.37306693588803,-149.43980343240054,636.0,9970,140.85412708232008,-253.37306693588803,-149.43980343240054,,0,,,,0,1,-140.85412708232008
Trar (AUS),85.0,1838,136.34563753703148,-81.6811915604447,-81.6811915604447,85.0,1838,136.34563753703148,-81.6811915604447,-81.6811915604447,,0,,,,0,1,-136.34563753703148
Wagg (AUS),107.0,1704,128.6042492238357,-135.61673014698752,-128.11673014698752,107.0,1704,128.6042492238357,-135.61673014698752,-128.11673014698752,,0,,,,0,1,-128.6042492238357
Henl,872.0,14594,117.03129712450337,-395.3656926094577,-123.07837152476176,872.0,14594,117.03129712450337,-395.3656926094577,-123.07837152476176,,0,,,,0,1,-117.03129712450337
Devn (AUS),175.0,2459,109.15970929185232,-211.12424951573377,-150.80810192831103,175.0,2459,109.15970929185232,-211.12424951573377,-150.80810192831103,,0,,,,0,1,-109.15970929185232
PGran,120.0,1589,104.36214715387612,-123.68134637289046,-95.5415914329162,120.0,1589,104.36214715387612,-123.68134637289046,-95.5415914329162,,0,,,,0,1,-104.36214715387612
Gunn (AUS),76.0,1138,100.11368333103391,-88.33144578434256,-32.153562608692965,76.0,1138,100.11368333103391,-88.33144578434256,-32.153562608692965,,0,,,,0,1,-100.11368333103391
Darw (AUS),214.0,3130,99.41947554797592,-116.29696491287989,-90.25688539522486,214.0,3130,99.41947554797592,-116.29696491287989,-90.25688539522486,,0,,,,0,1,-99.41947554797592
SPrk (AUS),329.0,5670,91.406071818935,-223.27024630146235,-119.02779411381273,329.0,5670,91.406071818935,-223.27024630146235,-119.02779411381273,,0,,,,0,1,-91.406071818935
