track,all_bets,all_pnl,all_max_dd,all_worst20,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,post_profit_dd_ratio,all_profit_dd_ratio
Pboro,1800.0,23.0385046867247,-177.29756888055823,-140.23841592112677,1800.0,23.0385046867247,-177.29756888055823,-140.23841592112677,,,,,0,,0.1299425865350995
Tral,12.0,15.428872202383607,0.0,15.428872202383607,12.0,15.428872202383607,0.0,15.428872202383607,,,,,0,,
Geel (Au),23.0,15.127153049198098,0.0,15.127153049198098,23.0,15.127153049198098,0.0,15.127153049198098,,,,,0,,
Ipsw (Aus,17.0,14.304031807303279,0.0,14.304031807303279,17.0,14.304031807303279,0.0,14.304031807303279,,,,,0,,
Wprk (Aus),16.0,12.5,0.0,12.5,16.0,12.5,0.0,12.5,,,,,0,,
Bvue,3935.0,10.941947168507909,-226.00540559913554,-122.95833168894657,3935.0,10.941947168507909,-226.00540559913554,-122.95833168894657,,,,,0,,0.04841453742887715
Laun (Aus,13.0,9.652592926344951,0.0,9.652592926344951,13.0,9.652592926344951,0.0,9.652592926344951,,,,,0,,
Cann (Aus),20.0,9.0,0.0,9.0,20.0,9.0,0.0,9.0,,,,,0,,
Crayf,19.0,7.873614913728083,0.0,7.873614913728083,19.0,7.873614913728083,0.0,7.873614913728083,,,,,0,,
Mead (Aus),51.0,3.147321359133347,0.0,3.147321359133347,51.0,3.147321359133347,0.0,3.147321359133347,,,,,0,,
Poole,3562.0,3.065287327031143,-217.4705767457782,-108.1228611257844,3562.0,3.065287327031143,-217.4705767457782,-108.1228611257844,,,,,0,,0.014095181853563784
Warr (Au),11.0,-0.09539236817508723,0.0,-0.09539236817508723,11.0,-0.09539236817508723,0.0,-0.09539236817508723,,,,,0,,
Shep (Aus),24.0,-2.195658197784798,0.0,-2.195658197784798,24.0,-2.195658197784798,0.0,-2.195658197784798,,,,,0,,
Casi (Aus),17.0,-3.0,-2.0,-3.0,17.0,-3.0,-2.0,-3.0,,,,,0,,-1.5
Sprk (Aus,15.0,-4.928810842129462,0.0,-4.928810842129462,15.0,-4.928810842129462,0.0,-4.928810842129462,,,,,0,,
Bend Aus),18.0,-6.5,0.0,-6.5,18.0,-6.5,0.0,-6.5,,,,,0,,
Mait (Aus),7.0,-7.0,0.0,-7.0,7.0,-7.0,0.0,-7.0,,,,,0,,
Warr (Aus),11.0,-11.0,0.0,-11.0,11.0,-11.0,0.0,-11.0,,,,,0,,
Rich (Aus,15.0,-15.0,0.0,-15.0,15.0,-15.0,0.0,-15.0,,,,,0,,
Wprk (Aus,15.0,-15.0,0.0,-15.0,15.0,-15.0,0.0,-15.0,,,,,0,,
Shawfield,35.0,-18.71044958,-12.0,-18.71044958,35.0,-18.71044958,-12.0,-18.71044958,,,,,0,,-1.5592041316666665
Cran (Aus),28.0,-28.0,0.0,-28.0,28.0,-28.0,0.0,-28.0,,,,,0,,
Ipsw (Aus),41.0,-41.0,-28.0,-41.0,41.0,-41.0,-28.0,-41.0,,,,,0,,-1.4642857142857142
Yarm,4548.0,-128.78970208547963,-171.18871421938087,-121.39730629434007,4548.0,-128.78970208547963,-171.18871421938087,-121.39730629434007,,,,,0,,-0.7523258917666367
Donc,9455.0,-420.32764094683404,-480.20682248231566,-143.73914955454154,9455.0,-420.32764094683404,-480.20682248231566,-143.73914955454154,,,,,0,,-0.875305433550589
